"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"9","9","+2 Mace","afr","Near Mint","English","","","2025-02-16 22:29:52.167000","1","False","False","0.35"
"1","1","A Good Day to Pie","unf","Near Mint","English","","","2025-02-16 22:29:52.167000","12","False","False","0.35"
"2","2","Aarakocra Sneak","clb","Near Mint","Spanish","","","2025-02-16 22:29:20.027000","54","False","False",""
"2","2","Aarakocra Sneak","clb","Near Mint","English","","","2025-02-16 22:29:20.027000","54","False","False",""
"1","1","Abattoir Ghoul","isd","Near Mint","English","","","2025-02-16 22:29:52.167000","85","False","False","0.35"
"1","1","Abbot of Keral Keep","2x2","Near Mint","Spanish","","","2025-04-20 01:45:12.920000","100","False","False","0.49"
"1","1","Abbot of Keral Keep","2x2","Near Mint","English","","","2025-04-20 01:45:12.920000","100","False","False","0.49"
"3","3","Abdel Adrian, Gorion's Ward","clb","Near Mint","Spanish","","","2025-02-16 22:29:52.167000","2","False","False","0.35"
"3","3","Aberrant Mind Sorcerer","afr","Near Mint","English","","","2025-02-16 22:29:20.027000","44","False","False",""
"1","1","Abiding Grace","mh2","Near Mint","English","","","2025-02-16 22:29:20.027000","1","False","False",""
"1","1","Abrade","cmm","Near Mint","English","","","2025-05-24 13:34:17.540000","203","False","False","0.35"
"1","1","Abrupt Decay","mb2","Near Mint","English","","","2025-04-24 02:34:44.070000","78","False","False","1.99"
"1","1","Absorb Vis","plst","Near Mint","English","","","2025-02-16 22:29:52.167000","CN2-126","False","False","0.35"
"2","2","Abstruse Interference","ogw","Near Mint","English","","","2025-02-16 22:29:20.027000","40","False","False",""
"1","1","Abuna Acolyte","som","Near Mint","Spanish","","","2025-02-16 22:29:52.167000","1","False","False","0.35"
"1","1","Abuna Acolyte","som","Near Mint","English","","","2025-02-16 22:29:52.167000","1","False","False","0.35"
"1","1","Abundant Harvest","mh2","Near Mint","English","foil","","2025-02-16 22:29:52.167000","147","False","False","0.49"
"1","1","Abundant Harvest","mh2","Near Mint","English","","","2025-02-16 22:29:20.027000","354","False","False",""
"4","4","Abundant Harvest","mh2","Near Mint","English","","","2025-02-16 22:29:20.027000","147","False","False",""
